d,d2,d3,d4,d5,d6,exp
-0.037629330090422804,-0.037629330090422804,0.00494733385744722,-0.020452614252116415,0.005130003318823857,-0.019988330783825507,-2.0
-0.05242290654057733,-0.036087736009230084,-0.18093608482963836,-0.23181046196325394,-0.1616774724809278,-0.21101344705434164,0.0
0.15124830315477203,0.15124830315477203,-0.036225719752931165,-0.009709750554016981,-0.0364899220109493,-0.010785815217345576,-1.0
-0.06241134119795101,-0.02461337953273116,-0.06315337665004128,-0.08815285008253865,-0.03974414132772121,-0.060091622837233384,2.0
0.10107567402348967,0.10107567402348967,0.019057146127949835,-0.030631797254074902,0.01943383053758824,-0.029692201199838862,-1.0
0.32064192950905446,0.32064192950905446,0.2976192119765299,0.2922000560122499,0.29748413797552625,0.2921999992010069,-2.0
-0.4065670402024741,-0.4065670402024741,-0.4125387891640509,-0.3486779185014533,-0.41299037899744234,-0.35074221634022035,2.0
0.34367729548657255,0.34367729548657255,0.34367729548657255,0.34367729548657255,0.34367729548657255,0.34367729548657255,0.0
0.27087866364817326,0.31226844438254425,0.20711393451318558,0.24197200488765977,0.23056731657841592,0.270445395024367,-1.0
0.4701232787884322,0.4701232787884322,0.45792287834687084,0.46040623447939294,0.457875660911176,0.4603387822198521,-2.0
-0.26902732022090636,-0.29687423907348526,-0.3303742987319241,-0.3336601354078978,-0.34699632995426233,-0.3540352097611448,0.0
0.7303273439993574,0.7303273439993574,0.9852930319232883,1.014358012515411,0.9849008771331571,1.01378878926688,3.0
-0.5740523280550291,-0.5740523280550291,-0.597682457009267,-0.5835267087207922,-0.5977991236879563,-0.5839279346775262,-1.0
1.3947045807751557,1.3319461912617607,1.260553985436235,1.3507957235876622,1.189463210330186,1.2821557939258537,2.0
0.5271542388787124,0.5271542388787124,0.5036766459393139,0.505773683642155,0.5036317856397299,0.5057174317471681,3.0
-0.3743926305472418,-0.3743926305472418,-0.3559957238704842,-0.3371853465211319,-0.3561721048044175,-0.3379475421037171,-3.0
-0.5152945962629183,-0.5152945962629183,-0.492891610467524,-0.5038943942227582,-0.4928390788577766,-0.5042596435333163,1.0
-0.5566229376538723,-0.5566229376538723,-0.579122467244679,-0.579817135027996,-0.5790865078903099,-0.580072353208987,-1.0
-0.5884295397595645,-0.5884295397595645,-0.7337806646874379,-0.6970822958911025,-0.7339919169662279,-0.6985754456916693,0.0
-0.4278775408240815,-0.3978080632582927,-0.1673157208812338,-0.2663381187082488,-0.13025382781864436,-0.22640806214588638,3.0
0.74791133487979,0.74791133487979,0.757922390105328,0.844528080548707,0.7569643979808434,0.8426248554905794,2.0
0.7787658549081343,0.7601169970809881,0.6836353554156035,0.7520019865974081,0.6620001912796205,0.73084835262298,-2.0
0.02123959538782253,0.02123959538782253,-0.05288350293118724,-0.01099040113481321,-0.053296590071987025,-0.01233837655221934,0.0
0.6096836486054619,0.6096836486054619,0.6213932351740675,0.617182989046923,0.621312463418519,0.6174000637887667,0.0
