d,d2,d3,d4,d5,d6,exp,sstot
0.17198126433441466,0.17198126433441466,0.24089256797999292,0.21175423468138416,0.24112732525967234,0.212516270293651,-3.0,True
0.886581657806754,0.886581657806754,0.7022010175667756,0.829041357103866,0.7011859794651377,0.826742067683399,3.0,True
0.5406511156647476,0.5406511156647476,0.5505323024935443,0.6671189013713535,0.5495435056424353,0.6651056758314313,1.0,True
0.8252201393062145,0.8252201393062145,0.8339095012977126,0.8267260530877936,0.8339192204615911,0.8270179505499275,1.0,True
0.15471108151980695,0.12842488213932243,0.21932023771622505,0.37884010642327437,0.18378503182822276,0.34169700078597254,-1.0,True
-0.35005028409431976,-0.35005028409431976,-0.41439404992189316,-0.5278043084050992,-0.41330312608768177,-0.5254823605017517,-0.0,True
0.43664798165169894,0.43664798165169894,0.3433454379603689,0.382777057860756,0.34299142856720416,0.3821377591759869,-0.0,True
0.5610624795232111,0.5610624795232111,0.6889248531726654,0.7638524591630723,0.6882458239193708,0.7624493052395882,2.0,True
1.0551044921224424,1.0551044921224424,1.3871697871191258,1.473110843736172,1.3859903529556417,1.4736664780103146,3.0,True
0.2967640036348266,0.2967640036348266,0.08937433341795427,0.19486056805074908,0.08874975374627511,0.19234291620040986,-0.0,True
-0.036396249950865184,-0.036396249950865184,-0.028541375269074312,-0.028561716112199906,-0.028469830322334893,-0.028460127034035825,-2.0,True
0.5221808640381524,0.5221808640381524,0.5065178042362113,0.5221896413118168,0.5062851745489334,0.5222479112958619,3.0,True
0.024853193759542314,0.024853193759542314,0.059925084151624744,0.14259252327377606,0.059251738275552586,0.14087138882238923,-1.0,True
0.2158193309310001,0.2158193309310001,0.18963258223897883,0.21048820952955605,0.18945942877847408,0.21014408396924497,2.0,True
-0.5304522558060473,-0.5837829206666688,-0.46301296661427305,-0.4963317632621271,-0.5081950171696072,-0.5495086750411086,-3.0,True
0.6091640962102309,0.6091640962102309,0.6090715772787898,0.6296008921501773,0.6089656788927169,0.629918304035942,-0.0,True
-0.5117490058492739,-0.5117490058492739,-0.45204425922252295,-0.4877813995315084,-0.45157395605919576,-0.4872643911906427,-2.0,True
