d,d2,d3,d4,d5,d6,exp,sstot
0.3593665450615235,0.38296522155632085,0.4424287549985303,0.4111904421751533,0.46584612691287014,0.4376776949462893,-3.0,True
0.8205876802667097,0.8205876802667097,0.7015071831602034,0.7649554526596076,0.701085794622452,0.7640080838256499,-2.0,True
-0.68201655575195,-0.68201655575195,-0.6736134217306186,-0.6842565942263957,-0.6736424001514872,-0.6846604928351205,2.0,True
0.7862995496866237,0.7862995496866237,0.6399031275524875,0.699117691778673,0.6394100200459061,0.6976686731012549,-3.0,True
-0.2663685884894236,-0.2663685884894236,0.028268907972506738,-0.04544957119452398,0.028366169316114964,-0.044272743680331794,1.0,True
1.0076742955531792,1.0076742955531792,0.7385627234611858,0.8293776910006894,0.738046106133961,0.8273424762575755,-3.0,True
0.579473649654522,0.5668594895283825,0.6140861491661678,0.5988090161264208,0.6015015397627927,0.5863314234348214,-1.0,True
0.36433359596723297,0.36433359596723297,0.2972644061241721,0.3659453592087346,0.29685398796425516,0.3646513657276625,-1.0,True
0.529414253192708,0.529414253192708,0.5041469634781964,0.48354500737009865,0.5040935116148214,0.4837787491976164,-0.0,True
-0.07864313149453146,-0.07864313149453146,0.011698731337127332,-0.04991090324426325,0.011890790285513536,-0.04898806158736909,3.0,True
0.08643200430188729,0.08643200430188729,0.055494082497851385,0.05115647356925621,0.05545629844537108,0.051125470016325156,-2.0,True
0.1244712394697723,,0.3687174059044514,0.3288389663843625,,,-2.0,True
0.03228762614101362,0.03228762614101362,0.05614170261035658,0.0638487495545347,0.056072952770697224,0.06367514223174278,-3.0,True
0.490479362118552,0.5237247691120958,0.616426968317104,0.6021362222194417,0.6401086542098914,0.6301084906734759,-0.0,True
-0.18482362272396985,-0.18482362272396985,-0.07602784480560995,-0.11526468329238722,-0.07599983958834136,-0.1149351773686632,-2.0,True
0.6771365292834466,0.6771365292834466,0.6631560222516407,0.6756029839535337,0.6630287954721439,0.6754570078659796,1.0,True
0.883489122134828,0.883489122134828,0.7977608372908687,0.829828631043701,0.7973940360259073,0.8293502662174611,-1.0,True
-0.7814098905901662,-0.7814098905901662,-0.5450198659923361,-0.6588566955177336,-0.5446429758644905,-0.6571620009971433,1.0,True
0.931437040193316,0.9191439004200413,1.011840353447215,1.0307567919824199,1.0021370768666749,1.0198451627567124,-0.0,True
-0.02372359134326664,-0.02372359134326664,0.010867142555191549,-0.004925565455089982,0.010822849181311487,-0.004902906492245139,1.0,True
0.4614412985458948,0.44196753251595644,0.4670622048365902,0.49020741063697554,0.4501670399442708,0.47084595432718085,-0.0,True
0.32933734902125933,0.32933734902125933,0.4001479742593187,0.4003229103134436,0.4001230716079031,0.40030471911603266,1.0,True
0.3060085719198767,0.3060085719198767,0.1764544587916165,0.2371323331371458,0.17603902643449476,0.23584851244203447,-0.0,True
-0.08616048186005203,-0.08616048186005203,-0.14534950336326583,-0.1291493915749884,-0.14547982846181118,-0.1296815621595222,2.0,True
-0.011210073692321272,-0.011210073692321272,-0.011364216624322436,0.00782282428782541,-0.0114784650847615,0.007477742500753275,1.0,True
0.18106393822850678,0.18106393822850678,0.18105787568964712,0.1347850782587564,0.18109463962461547,0.1354404717235448,-1.0,True
0.026971845905622006,0.026971845905622006,0.06648986968880408,0.03641054521622999,0.06645950015480068,0.03661773089787553,-1.0,True
0.13109119202615283,0.13109119202615283,0.03477075641980247,0.07161633487341676,0.034483481823420724,0.07055727313014912,-2.0,True
0.4410859055195696,0.4410859055195696,0.4784524043837153,0.4506424931912871,0.47842698275852263,0.4509848382082032,-0.0,True
-0.8926117144064465,-0.8926117144064465,-0.6346169559056222,-0.7937013179841714,-0.6340685256118181,-0.7916858067497838,2.0,True
-0.4737767000085339,-0.4737767000085339,-0.524231487373984,-0.5286275787142785,-0.5242358335430419,-0.5288739507770731,1.0,True
-0.02019067724871696,-0.02019067724871696,0.07485347558807305,0.055228979917496326,0.07485620439686512,0.055376575975528024,-1.0,True
0.2421497766920878,0.2421497766920878,0.26722453584215705,0.2494595499066597,0.2671962688303032,0.24963003246329246,-1.0,True
-0.7936151764051598,-0.7936151764051598,-0.90618982978422,-0.9341200368126816,-0.9059178098083344,-0.9340771939062238,-1.0,True
0.38417987890814836,0.38417987890814836,0.2568075483492895,0.33229400478902055,0.2562094065684964,0.33055183940711763,-0.0,True
-0.07480182406817847,-0.07480182406817847,0.05882520788474565,-0.027554553738877635,0.05902611040843357,-0.026302986036294385,-2.0,True
0.2924617914075682,0.2924617914075682,0.5094196697106163,0.4353239170855204,0.5094669488760447,0.43666272691907115,-3.0,True
-0.11259809324104465,-0.11259809324104465,0.05006090220692961,-0.12897706401801015,0.05055847181711142,-0.12612274775292218,-3.0,True
-0.08200558490793529,-0.10437882874948774,-0.09314893278003855,-0.08857892143305811,-0.11221327144455798,-0.10990746059058898,-1.0,True
0.822716172078466,0.822716172078466,0.6105322256410255,0.7235491209325066,0.6098615511347798,0.7212062549293038,-2.0,True
-0.3258213764769143,-0.3258213764769143,-0.2989717660773277,-0.35193154342543004,-0.2988100501865126,-0.3514607748316711,3.0,True
0.049186978645977944,0.049186978645977944,0.08424754103929771,0.09527065721728314,0.08396196166919805,0.09443800125187729,1.0,True
0.7675992238235301,0.75243187618274,0.20276393735915355,0.31825399701802926,0.18766155788308445,0.2992101130108878,-1.0,True
0.13750805602799518,0.13750805602799518,0.15331311275696435,0.2300091505597833,0.15284273975971063,0.22853364508467353,-1.0,True
0.41368676840962293,0.41368676840962293,0.42792641712194907,0.4228058039883823,0.4278608289757648,0.42294153670676393,-1.0,True
0.7290774886554134,0.7290774886554134,0.7356337164919021,0.7350518223341553,0.7355573813864815,0.7351418325082902,-3.0,True
0.08479001988885318,0.08479001988885318,0.10323703192113437,0.08635748546919277,0.10330674728331252,0.08660682543963076,1.0,True
-0.8318998066870111,-0.8318998066870111,-0.6919449042876009,-0.8154837220452492,-0.6914617619444753,-0.8140414775717171,1.0,True
0.5310263872897614,0.5310263872897614,0.4503709752120435,0.48365807627154683,0.45007291401899907,0.4828183716499599,-0.0,True
0.5223528633875547,0.5223528633875547,0.6455332911529154,0.6422600170850431,0.6454323673823147,0.6422455443815486,-0.0,True
0.6662373954789005,0.6552250162372848,0.5707149299654866,0.6025919906418801,0.5587316417010839,0.5900170112787994,-1.0,True
0.09286039545696365,0.09286039545696365,0.06727114976518175,0.051370677843778585,0.06732879374446318,0.05157844261096523,-1.0,True
-0.6676229796045134,-0.6676229796045134,-0.6556013351968433,-0.668057664639401,-0.6554811558487957,-0.6679841428326901,-2.0,True
0.04663462159098253,0.04663462159098253,0.06721884172708807,0.026831045785614075,0.06726185081948666,0.02722271498527895,1.0,True
0.24035867293233315,0.24035867293233315,0.22364391094744676,0.2602179933098468,0.22327988339739102,0.2593296609918695,-1.0,True
0.07651869340271979,0.12994641733513843,-0.03672075848216598,-0.04074025514290271,-0.010039875529288101,-0.010337786763700266,-1.0,True
0.586065977147852,0.586065977147852,0.6481902882252648,0.6827958130490166,0.6476537004479983,0.6820691241300658,-3.0,True
0.1800445094079973,0.1800445094079973,0.12958634111907083,0.15558820424383418,0.12930266512756586,0.15482682202180045,-2.0,True
0.63947915167701,0.63947915167701,0.664866211373069,0.6306185878641685,0.6648575196845273,0.631139816617497,-0.0,True
-0.28565808507310025,-0.28565808507310025,-0.21459275231822256,-0.26179228905022167,-0.21441076369577422,-0.26119659787887206,-1.0,True
0.3814814504120771,0.3814814504120771,0.4520256081372377,0.44512460024293554,0.45188413559069535,0.4452350176430456,1.0,True
1.383972410464725,1.383972410464725,0.8801048859163448,1.0740143055542943,0.8791890254136012,1.0703552489580868,-0.0,True
0.10062106242954705,0.10062106242954705,0.1574382500056286,0.12093222626619407,0.15758094086940005,0.1214963522887822,1.0,True
0.5544922257034677,0.5544922257034677,0.5802751039477447,0.5806532733916475,0.5801578055551688,0.5806471259212957,-0.0,True
-0.15149733495808118,-0.15149733495808118,-0.1841180205209994,-0.20714625942721096,-0.18408985728278893,-0.20702019928449036,-1.0,True
-0.008902294103527036,0.1366979396851468,0.3292993812626511,0.24049936887464435,0.4580168867456566,0.38845193348478024,-1.0,True
0.8736772684258697,0.8736772684258697,0.9389463937894794,0.89840095584175,0.9389991349076341,0.8994729774309376,-2.0,True
