d,d2,d3,d4,d5,d6,exp,sstot
-0.180933508370579,-0.180933508370579,-0.13822269533196094,-0.12927512360528037,-0.13813918699314764,-0.12929415896227753,1.0,True
0.7570217565820432,0.7570217565820432,0.7562997483816638,0.7495737791128311,0.7563616911027825,0.7497346365376335,3.0,True
0.730536475808206,0.6368756633392262,0.31483968994971595,0.44224514978883844,0.20784671807764615,0.32525752058943413,3.0,True
0.8183985315956783,0.8183985315956783,0.7959167528654799,0.7928377275973166,0.795915121636164,0.7930343485585509,3.0,True
-0.28131474285595476,-0.28131474285595476,-0.27965747493377685,-0.26622170533540274,-0.27976968696757026,-0.2664833869208601,1.0,True
-0.5071945584938233,-0.48603083657983,-0.38008278287272723,-0.42364601197315993,-0.35901314169479814,-0.39879008053054404,-3.0,True
0.08578918862823683,0.08578918862823683,0.0345764952145085,-0.0009482213696952124,0.03492498765532654,0.00014008792111775816,3.0,True
0.6246829848001958,0.5644231649422011,0.40898422518934274,0.5025181219581917,0.3543355592768552,0.4420207030802539,1.0,True
-0.20240973108815868,-0.20240973108815868,-0.10399100858758953,-0.16178678018254838,-0.10338226309356242,-0.16049010587723989,-3.0,True
-0.6222557806255995,-0.6222557806255995,-0.5975880189997073,-0.6034898293732878,-0.5973408756387723,-0.6036169817283494,0.0,True
-0.06508124103366311,-0.06508124103366311,-0.008753011148840167,-0.007122117064246065,-0.0087145242975559,-0.007027779426397185,2.0,True
0.16787078071988515,0.16787078071988515,0.1404158784149835,0.15604322075578528,0.14046020322629396,0.1561340973367284,3.0,True
0.021935783151434993,0.021935783151434993,0.14398787369657637,0.1103071077075097,0.1442850851273346,0.11171736124198092,0.0,True
-0.33441081064831346,-0.33441081064831346,-0.2002498472373712,-0.2986579811870827,-0.19936751740408534,-0.2959456150347395,-3.0,True
-0.12574055133492218,-0.12574055133492218,-0.08908426874825973,-0.05896740190895043,-0.08926648096780382,-0.05953133362721965,2.0,True
0.7811367359312597,0.7811367359312597,0.7874043890703436,0.7574051408410185,0.7875832595709111,0.7583305108096129,3.0,True
0.21215531395084614,0.18199598793324528,0.21278684095825082,0.24063619876084114,0.18235592116704719,0.2105105543229945,3.0,True
0.29532043566776606,0.29532043566776606,0.3564974976951931,0.4325647710867344,0.35577005990914434,0.4311811600303544,1.0,True
-0.1431489381735587,-0.1431489381735587,-0.24863395393825025,-0.15051335930905826,-0.24934770542961876,-0.15274083928602541,2.0,True
-0.6409012214253305,-0.6409012214253305,-0.6231089346375515,-0.6253932126224023,-0.623050793303523,-0.6253557939792177,3.0,True
-0.4616999041986819,-0.4616999041986819,-0.45327102976970696,-0.4427603469088803,-0.45336006431041415,-0.4429840461873483,1.0,True
0.5549577288650537,0.5549577288650537,0.7529146248351049,0.6008227099417538,0.7542297408921682,0.6046986722973673,3.0,True
-0.6083343590251397,-0.5981578159500203,-0.6703723638315208,-0.6867283514955539,-0.6580796466998314,-0.67437843341153,-3.0,True
-0.4632160002317851,-0.4632160002317851,-0.4427854343358055,-0.48440067585752383,-0.442211534090062,-0.4835703687368965,-1.0,True
-0.6844043220503574,-0.7341483824622406,-0.6340017839305353,-0.6538446718254158,-0.6796632737420361,-0.7029287613718291,-3.0,True
-0.3544657653435286,-0.3381511434469138,-0.3861630055272985,-0.4055432037300155,-0.3720855103925961,-0.38972728909792903,0.0,True
-0.5201006815559804,-0.4881849212750941,-0.3442152576879753,-0.4112600971612238,-0.3094621882293644,-0.37476159940441234,0.0,True
0.18994148954958157,0.18994148954958157,0.17426746488707254,0.17335243392563413,0.17434922936815528,0.17374962541849265,0.0,True
-0.0689878395253359,-0.0689878395253359,-0.10530966613361549,0.014713173166896729,-0.10603211654329521,0.01224700260451702,2.0,True
-0.04763775340074143,-0.10434711950724908,-0.07205598345938438,-0.01908910883479639,-0.12992495022937903,-0.08445197167856401,3.0,True
0.4609576479461201,0.4869716399323118,0.3276756173237529,0.3636997511693435,0.3493158546877336,0.3891655306381545,1.0,True
-0.06527682555356844,-0.09108270709644299,-0.11096660483593745,-0.05387987065572081,-0.1370300814117432,-0.08181439093798143,2.0,True
-0.21918760328855963,-0.21918760328855963,-0.19049259709001348,-0.21595888623977444,-0.19019207848031328,-0.21537396135965095,2.0,True
0.004971293436105079,0.004971293436105079,-0.08502756844547381,-0.043083776781577286,-0.08528129576732923,-0.04391446722488419,3.0,True
0.09765546659991928,0.09765546659991928,0.048285653413243576,0.08200820562438542,0.04801580471997703,0.08135832229936672,3.0,True
-0.28447940153585927,-0.28447940153585927,-0.2125808655831622,-0.26224975922027793,-0.21203066838718035,-0.2610845255052842,2.0,True
0.09062607645792188,0.09062607645792188,0.07194682558967525,0.030839898423212567,0.07234441734474939,0.032260988899174475,1.0,True
0.17337066630388304,0.17337066630388304,0.22294679302925485,0.26799404856207254,0.22255287842426758,0.26734629800334014,2.0,True
0.6478431042040521,0.6478431042040521,0.6676567810292413,0.6554168576662747,0.6676811967908103,0.6559160949322211,3.0,True
0.6564866496454554,0.6289732274894893,0.4720991917303596,0.5565394889810349,0.44618893926959996,0.5266356466169657,3.0,True
0.44903731894098853,0.3437603587237037,0.045818263938197684,0.16055979548715352,-0.04751845891981757,0.05196053926898002,3.0,True
-0.05780505570631501,-0.05780505570631501,0.10327778612360483,0.07517644500030272,0.10357098732773445,0.07615237072259975,0.0,True
-0.14355600000801996,-0.14355600000801996,0.12635037229871784,0.044708782561171445,0.12703426427873804,0.047049992020402505,2.0,True
0.15948630150604118,0.15948630150604118,0.13896209012435143,0.1662524935085127,0.13873874579860088,0.1657745848663982,2.0,True
0.08190790911853112,0.08190790911853112,0.15491960102262634,0.1167829277944029,0.15524556253807872,0.11802601275443818,0.0,True
1.0158229107080667,1.0158229107080667,1.0074420273527438,1.0526098501113421,1.0067826532996718,1.0522129247883418,3.0,True
-0.5055100724029995,-0.4674935595837931,-0.21856961427655708,-0.27549561944371986,-0.13965202995590517,-0.1948993765691207,1.0,True
0.055494143578297406,0.055494143578297406,-0.0417103053938902,-0.009814916688835737,-0.04182883342593156,-0.010285939944884779,3.0,True
