d,d2,d3,d4,d5,d6,exp,sstot
0.30448597613540723,0.30448597613540723,0.3573347428606068,0.30666768211641093,0.35765718921258294,0.308330154029537,2.0,True
-0.5621381670286019,-0.5621381670286019,-0.26939523072770055,-0.40671163713672026,-0.2685507893060563,-0.4035785887669485,-2.0,True
0.09522486541859196,0.09522486541859196,0.01804214917943797,-0.04728577224990826,0.01847999203852161,-0.04607439789293222,1.0,True
0.41465784933219924,0.41465784933219924,0.41142988631674166,0.3967449461552583,0.41154286071391033,0.3972407414092818,-2.0,True
0.09152731652486903,0.09152731652486903,0.237966939554181,0.16227807878882683,0.2383475757309044,0.16422727133980397,-2.0,True
0.08466870226366763,0.1103655062287667,0.27866029308019896,0.2264763225543204,0.2957357024409272,0.24909940236506664,-1.0,True
-0.0034349830311912557,0.02379696102179269,0.03425876517512759,-0.00304416678538212,0.05330832410866873,0.021417740585031535,-3.0,True
-0.4589089145304444,-0.4589089145304444,-0.0871742777833678,-0.26957104837689316,-0.08617000141365012,-0.2654081565725845,-3.0,True
0.5425894447374533,0.5425894447374533,0.558673971110662,0.5223410654114544,0.5589120560366668,0.5232013398346074,1.0,True
0.5820773154636713,0.5820773154636713,0.47733089348495483,0.5808244143911289,0.47692365690490457,0.578778332630573,1.0,True
-0.06138913453204132,-0.06138913453204132,-0.06952072350620474,-0.03677144299179275,-0.06960933109075383,-0.037560031887559575,-0.0,True
-0.45602835256145346,-0.3155751842181268,0.10701361699035644,-0.04851741210296825,0.29458445991884336,0.15694983319183475,-0.0,True
-0.9534789393584876,-0.9534789393584876,-0.9657905370431372,-0.9096401199017066,-0.9660183609044303,-0.9110144277617913,2.0,True
-0.5543510159418288,-0.5543510159418288,-0.5325663754247002,-0.5452439991411543,-0.5324368810995495,-0.5451065125795752,-2.0,True
-1.123217155187782,-1.123217155187782,-0.15179212916285525,-0.5328311532108779,-0.14982740788943372,-0.5237284284372802,-1.0,True
-0.20421145918534708,-0.20421145918534708,-0.07493647178045497,-0.23530933217154384,-0.07405446249710665,-0.23179987339306607,-1.0,True
0.36189401775538593,0.36189401775538593,0.285029390416969,0.34157649072350743,0.28491578717390115,0.3402319584444306,-2.0,True
-0.31950094909795146,-0.31950094909795146,-0.29757847867116866,-0.2774230515849939,-0.2976110251017108,-0.2779893615660305,-3.0,True
0.8573951321819523,0.8573951321819523,0.8654939771179756,0.8711367008227568,0.8654581495124871,0.8710405742820894,1.0,True
-0.011829055989107554,-0.011829055989107554,0.005527139740944387,-0.008064086901907784,0.005632889804697127,-0.007822719086976833,-3.0,True
-0.39557384257220196,-0.39557384257220196,-0.20200066234652844,-0.34596990239756115,-0.2010730662068251,-0.3431681342315133,1.0,True
1.011608740380811,1.011608740380811,0.8602516230708698,0.940835804301004,0.8597051107344275,0.9401354468331267,-1.0,True
-0.45473234786574507,-0.45473234786574507,-0.4961494693963646,-0.5968627024555392,-0.49546560758180536,-0.5950272478207875,2.0,True
0.30368718791783217,0.30368718791783217,0.42434764733071745,0.38449998854194906,0.42446537136752227,0.3857361127599811,1.0,True
-0.29463488672074417,-0.29463488672074417,-0.2585681432069095,-0.2531449422886258,-0.2584715518865821,-0.25347630968289697,-0.0,True
-0.17482432445126284,-0.17482432445126284,-0.20446846693510104,-0.21337885828415096,-0.20435488462586762,-0.21329632219214145,-1.0,True
